# Profile 3
# x      y
# [m]    [m]
2.6100195e-08   8.0748311e-10
2.6294972e-08   8.0754461e-10
2.648975e-08   8.1756272e-10
2.6684527e-08   8.2686678e-10
2.6879305e-08   8.2047855e-10
2.7074083e-08   8.3263163e-10
2.726886e-08   8.3634561e-10
2.7463638e-08   8.2640502e-10
2.7658415e-08   8.2265971e-10
2.7853193e-08   8.2611136e-10
2.804797e-08   8.2318663e-10
2.8242748e-08   8.2275893e-10
2.8437526e-08   8.102091e-10
2.8632303e-08   8.0265975e-10
2.8827081e-08   7.949868e-10
2.9021858e-08   8.0465914e-10
2.9216636e-08   8.0568982e-10
2.9411413e-08   8.0658442e-10
2.9606191e-08   8.157561e-10
2.9800969e-08   8.1126957e-10
2.9995746e-08   8.143858e-10
3.0190524e-08   7.9877593e-10
3.0385301e-08   8.1094462e-10
3.0580079e-08   8.0976317e-10
3.0774856e-08   8.0633776e-10
3.0969634e-08   8.014352e-10
3.1164412e-08   8.0208757e-10
3.1359189e-08   8.0307456e-10
3.1553967e-08   8.0269279e-10
3.1748744e-08   8.0246579e-10
3.1943522e-08   8.0492177e-10
3.2138299e-08   8.0315908e-10
3.2333077e-08   8.0099335e-10
3.2527855e-08   8.1211995e-10
3.2722632e-08   8.0702802e-10
3.291741e-08   7.963851e-10
3.3112187e-08   8.0129165e-10
3.3306965e-08   7.9991415e-10
3.3501742e-08   7.8675581e-10
3.369652e-08   7.8538664e-10
3.3891298e-08   7.7988757e-10
3.4086075e-08   7.7554945e-10
3.4280853e-08   7.8167235e-10
3.447563e-08   7.771686e-10
3.4670408e-08   7.6698444e-10
3.4865185e-08   7.7074962e-10
3.5059963e-08   7.6760463e-10
3.5254741e-08   7.793176e-10
3.5449518e-08   7.7585157e-10
3.5644296e-08   7.6804776e-10
3.5839073e-08   7.6649693e-10
3.6033851e-08   7.5617961e-10
3.6228628e-08   7.5566377e-10
3.6423406e-08   7.6041337e-10
3.6618184e-08   7.6491422e-10
3.6812961e-08   7.7164028e-10
3.7007739e-08   7.6744083e-10
3.7202516e-08   7.7553742e-10
3.7397294e-08   7.6702781e-10
3.7592071e-08   7.706932e-10
3.7786849e-08   7.7083108e-10
3.7981627e-08   7.6675049e-10
3.8176404e-08   7.6184934e-10
3.8371182e-08   7.5719625e-10
3.8565959e-08   7.511289e-10
3.8760737e-08   7.415633e-10
3.8955514e-08   7.4894649e-10
3.9150292e-08   7.3371451e-10
